AR0108_H3K9ME2_N2_L3_LM	Lieb	Ahringer					NOT RELEASED							2011-02-24		uploaded	3437		
Cell Lines OSS RNA-Seq uniquely mapped reads	Celniker	Graveley					NOT RELEASED							2011-03-07		uploaded	3489		
Cell Lines OSC RNA-Seq uniquely mapped reads	Celniker	Graveley					NOT RELEASED							2011-03-07		uploaded	3490		
Cell Lines fGS RNA-Seq uniquely mapped reads	Celniker	Graveley					NOT RELEASED							2011-03-07		uploaded	3491		
seq_JL00001_DPY27_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3495		
seq_JL00002_SDC3_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3496		
seq_JL00003_DPY26_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3497		
seq_JL00004_MIX1_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3498		
seq_SDQ3146_SDC2_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3499		
seq_SDQ3564_RBR2_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3500		
seq_SDQ3582_CBP1_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3501		
seq_SDQ3897_NPP13_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3502		
seq_SDQ4154_IMB1_N2_MXEMB	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3503		
seq_JL_SonicPaireP1_N2_MXEMB_A	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3504		
seq_JL_SonicPaireP1_N2_MXEMB_B	Lieb	Lieb					NOT RELEASED							2011-03-15		uploaded	3505		
C. elegans Regulatory Network	Waterston	Gerstein					NOT RELEASED							2011-03-18		uploaded	3509		
RNAseq - L4b alignments	Waterston	Waterston					NOT RELEASED							2011-03-22		uploaded	3525		
OD00079_HCP3_N2_EEMB	Lieb	Desai					NOT RELEASED							2011-03-29		uploaded	3540		
OD00079_HCP3_N2_MXEMB	Lieb	Desai					NOT RELEASED							2011-03-29		uploaded	3541		
OD00079_HCP3_N2_LTEMB	Lieb	Desai					NOT RELEASED							2011-03-29		uploaded	3542		
SDQ0804_HCP3_N2_LTEMB	Lieb	Desai					NOT RELEASED							2011-03-29		uploaded	3543		
SGF3165_FLAG_N2_EEMB	Lieb	Strome					NOT RELEASED							2011-03-29		uploaded	3560		
seq-AR0144_H3_144_N2_L3	Lieb	Ahringer					NOT RELEASED							2011-04-01		uploaded	3564		
seq-JA00001_HTZ1_N2_L3	Lieb	Ahringer					NOT RELEASED							2011-04-01		uploaded	3569		
seq-SDQ2370_LIN53_N2_L3	Lieb	Ahringer					NOT RELEASED							2011-04-01		uploaded	3574		
seq-WA30932379_H3K9ac_N2_L3	Lieb	Ahringer					NOT RELEASED							2011-04-04		uploaded	3578		
seq-WA30534819_H3K4me3_N2_MXemb_se	Lieb	Lieb					NOT RELEASED							2011-04-04		uploaded	3582		
Snyder_UNC-62_GFP_D4YA	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3584		
Snyder_ZAG-1_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3585		
Snyder_R02D3.7_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3586		
Snyder_FOS-1_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3587		
Snyder_FOS-1_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3588		
Snyder_LIN-15B_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3589		
Snyder_ZK377.2_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3590		
Snyder_ZK377.2_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3591		
Snyder_ZK377.2_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3592		
Snyder_ZK377.2_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3593		
Snyder_NHR-77_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3594		
Snyder_NHR-77_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3595		
Snyder_NHR-77_GFP_L3	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3596		
Snyder_NHR-77_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3597		
Snyder_NHR-116_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3598		
Snyder_NHR-116_GFP_L4	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3599		
Snyder_F45C12.2_GFP_L1	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3600		
Snyder_Ppie-1_LIN-35_YL402_yAd	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3602		
Snyder_Pges-1_LIN-35_YL398_L1	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3603		
Snyder_Pges-1_HPL-2_YL416 L1	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3604		
Snyder_N2_EFL-1_Ab	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3605		
Snyder_SEM-4_GFP_L2	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3606		
Snyder_DPL-1_GFP_L1v2	Snyder	Snyder					NOT RELEASED							2011-04-27		uploaded	3607		
FP00001_HPL2_N2_L3	Lieb	Ahringer					NOT RELEASED							2011-05-05		uploaded	3624		
H3K36me3_abcam.D.mel_3rd_Instar_Larvae_Nuclei_EGG_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3684		
H3K36me3_abcam.D.mel_3rd_Instar_Larvae_Nuclei_HP1c_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3685		
H3K36me3_abcam.D.mel_3rd_Instar_Larvae_Nuclei_POF_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3686		
H3K4me2_JBC_1360331.D.mel_3rd_Instar_Larvae_Nuclei_Su(var)_3-9_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3690		
H3K9me2-Ab2_(new_lot).D.mel_3rd_Instar_Larvae_Nuclei_EGG_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3692		
H3K9me2-Ab2_(new_lot).D.mel_3rd_Instar_Larvae_Nuclei_mt2_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3693		
H3K9me2-Ab2_(new_lot).D.mel_3rd_Instar_Larvae_Nuclei_Su(var)_3-9_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3695		
H3K9me3_abcam.D.mel_3rd_Instar_Larvae_Nuclei_Su(var)_3-9_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3696		
H4K16ac(L).14-16_hr_OR_embryo	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3697		
H4K16ac(M).14-16_hr_OR_embryo	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3698		
HP1c_(MO_462).D.mel_3rd_Instar_Larvae_Nuclei_HP1a_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3701		
HP1_wa191.D.mel_3rd_Instar_Larvae_Nuclei_EGG_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3702		
HP1_wa191.D.mel_3rd_Instar_Larvae_Nuclei_mt2_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3703		
HP1_wa191.D.mel_3rd_Instar_Larvae_Nuclei_Su(var)_3-9_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3706		
RNA_Pol_II_(abcam).D.mel_3rd_Instar_Larvae_Nuclei_HP1c_Mutant	Karpen	Karpen					NOT RELEASED							2011-05-30		uploaded	3711		
RNAseq - AF16_Mx-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3728		
RNAseq - AF16_L4-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3731		
RNAseq - DF5081_L4-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3732		
RNAseq - AG1106	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3734		
RNAseq - PB2801_YAF-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3735		
RNAseq - PB2801_YAM-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3736		
RNAseq - SB146_L2-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3737		
RNAseq - SB146_L4-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3738		
RNAseq - SB146_YAF-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3739		
RNAseq - SB146_YAM-1	Waterston	Waterston					NOT RELEASED							2011-07-20		uploaded	3740		
Chro(Chriz)WR.14-16 hr OR embryo	Karpen	Karpen					NOT RELEASED							2011-07-27		uploaded	3746		
